coin,block,total_supply,total_supply_pct,date
BTC,1,50.0,0.00023809523813071707,2009-01-01
BTC,52273,2613650.0,12.445952382806972,2010-01-01
BTC,104833,5241650.0,24.96023809895746,2011-01-01
BTC,157393,7869650.0,37.47452381510794,2012-01-01
BTC,210097,10502425.0,50.01154762649992,2013-01-01
BTC,262657,11816425.0,56.26869048457517,2014-01-01
BTC,315217,13130425.0,62.52583334265041,2015-01-01
BTC,367777,14444425.0,68.78297620072566,2016-01-01
BTC,420481,15756012.5,75.0286309635611,2017-01-01
BTC,473041,16413012.5,78.15720239259872,2018-01-01
BTC,525601,17070012.5,81.28577382163633,2019-01-01
BTC,578161,17727012.5,84.41434525067396,2020-01-01
BTC,630865,18380406.25,87.52574406066141,2021-01-01
BTC,683425,18708906.25,89.09002977518021,2022-01-01
BTC,735985,19037406.25,90.65431548969902,2023-01-01
BTC,788545,19365906.25,92.21860120421783,2024-01-01
BTC,841249,19691403.125,93.76858632349642,2025-01-01
BTC,893809,19855653.125,94.55072918075582,2026-01-01
BTC,946369,20019903.125,95.33287203801522,2027-01-01
BTC,998929,20184153.125,96.11501489527463,2028-01-01
BTC,1051633,20346301.5625,96.88715031205636,2029-01-01
BTC,1104193,20428426.5625,97.27822174068606,2030-01-01
BTC,1156753,20510551.5625,97.66929316931576,2031-01-01
BTC,1209313,20592676.5625,98.06036459794547,2032-01-01
BTC,1262017,20673450.78125,98.44500373490754,2033-01-01
BTC,1314577,20714513.28125,98.6405394492224,2034-01-01
BTC,1367137,20755575.78125,98.83607516353725,2035-01-01
BTC,1419697,20796638.28125,99.03161087785209,2036-01-01
BTC,1472401,20836875.390625,99.22321616061875,2037-01-01
BTC,1524961,20857406.640625,99.32098401777617,2038-01-01
BTC,1577521,20877937.890625,99.41875187493359,2039-01-01
BTC,1630081,20898469.140625,99.51651973209103,2040-01-01
BTC,1682785,20918512.6953125,99.61196523061714,2041-01-01
BTC,1735345,20928778.3203125,99.66084915919586,2042-01-01
BTC,1787905,20939043.9453125,99.70973308777458,2043-01-01
BTC,1840465,20949309.5703125,99.75861701635328,2044-01-01
BTC,1893169,20959293.84765625,99.80616119418775,2045-01-01
BTC,1945729,20964426.66015625,99.8306031584771,2046-01-01
BTC,1998289,20969559.47265625,99.85504512276646,2047-01-01
BTC,2050849,20974692.28515625,99.87948708705582,2048-01-01
BTC,2103553,20979665.673828125,99.90316989025875,2049-01-01
BTC,2156113,20982232.080078125,99.91539087240344,2050-01-01
BTC,2208673,20984798.486328125,99.92761185454812,2051-01-01
BTC,2261233,20987364.892578125,99.93983283669279,2052-01-01
BTC,2313937,20989842.211914062,99.95162959543711,2053-01-01
BTC,2366497,20991125.415039062,99.95774008650945,2054-01-01
BTC,2419057,20992408.618164062,99.96385057758178,2055-01-01
BTC,2471617,20993691.821289062,99.96996106865413,2056-01-01
BTC,2524321,20994925.79345703,99.97583712659771,2057-01-01
BTC,2576881,20995567.39501953,99.97889237213387,2058-01-01
BTC,2629441,20996208.99658203,99.98194761767006,2059-01-01
BTC,2682001,20996850.59814453,99.98500286320622,2060-01-01
BTC,2734705,20997465.240478516,99.98792973146372,2061-01-01
BTC,2787265,20997786.041259766,99.9894573542318,2062-01-01
BTC,2839825,20998106.842041016,99.9909849769999,2063-01-01
BTC,2892385,20998427.642822266,99.99251259976798,2064-01-01
BTC,2945089,20998733.792114258,99.99397045353959,2065-01-01
BTC,2997649,20998894.192504883,99.99473426492362,2066-01-01
BTC,3050209,20999054.592895508,99.99549807630767,2067-01-01
BTC,3102769,20999214.993286133,99.99626188769172,2068-01-01
BTC,3155473,20999367.48199463,99.99698802439895,2069-01-01
BTC,3208033,20999447.68218994,99.99736993009097,2070-01-01
BTC,3260593,20999527.882385254,99.99775183578299,2071-01-01
BTC,3313153,20999608.082580566,99.998133741475,2072-01-01
BTC,3365857,20999684.033966064,99.99849541473934,2073-01-01
BTC,3418417,20999724.13406372,99.99868636758535,2074-01-01
BTC,3470977,20999764.234161377,99.99887732043136,2075-01-01
BTC,3523537,20999804.334259033,99.99906827327737,2076-01-01
BTC,3576241,20999842.163467407,99.99924841236489,2077-01-01
BTC,3628801,20999862.213516235,99.99934388878789,2078-01-01
BTC,3681361,20999882.263565063,99.9994393652109,2079-01-01
BTC,3733921,20999902.31361389,99.9995348416339,2080-01-01
BTC,3786625,20999921.15497589,99.99962456240536,2081-01-01
BTC,3839185,20999931.180000305,99.99967230061685,2082-01-01
BTC,3891745,20999941.20502472,99.99972003882836,2083-01-01
BTC,3944305,20999951.230049133,99.99976777703986,2084-01-01
BTC,3997009,20999960.61410904,99.99981246303942,2085-01-01
BTC,4049569,20999965.626621246,99.99983633214516,2086-01-01
BTC,4102129,20999970.639133453,99.99986020125093,2087-01-01
BTC,4154689,20999975.65164566,99.99988407035667,2088-01-01
BTC,4207393,20999980.325365067,99.99990632616337,2089-01-01
BTC,4259953,20999982.83162117,99.99991826071624,2090-01-01
BTC,4312513,20999985.337877274,99.99993019526912,2091-01-01
BTC,4365073,20999987.844133377,99.99994212982199,2092-01-01
BTC,4417777,20999990.171837807,99.9999532141288,2093-01-01
BTC,4470337,20999991.42496586,99.99995918140525,2094-01-01
BTC,4522897,20999992.67809391,99.99996514868168,2095-01-01
BTC,4575457,20999993.931221962,99.99997111595812,2096-01-01
BTC,4628161,20999995.09049654,99.99997663631325,2097-01-01
BTC,4680721,20999995.717060566,99.99997961995147,2098-01-01
BTC,4733281,20999996.34362459,99.99998260358969,2099-01-01
BTC,4785841,20999996.970188618,99.99998558722791,2100-01-01
BTC,4838401,20999997.54667878,99.99998833241916,2101-01-01
BTC,4890961,20999997.859960794,99.99998982423828,2102-01-01
BTC,4943521,20999998.173242807,99.99999131605739,2103-01-01
BTC,4996081,20999998.48652482,99.9999928078765,2104-01-01
BTC,5048785,20999998.7744838,99.99999417910973,2105-01-01
BTC,5101345,20999998.931124806,99.99999492501928,2106-01-01
BTC,5153905,20999999.087765813,99.99999567092884,2107-01-01
BTC,5206465,20999999.24440682,99.9999964168384,2108-01-01
BTC,5259169,20999999.387814105,99.99999709973024,2109-01-01
BTC,5311729,20999999.466134608,99.99999747268501,2110-01-01
BTC,5364289,20999999.54445511,99.99999784563978,2111-01-01
BTC,5416849,20999999.622775614,99.99999821859457,2112-01-01
BTC,5469553,20999999.694193155,99.99999855867809,2113-01-01
BTC,5522113,20999999.733353406,99.99999874515547,2114-01-01
BTC,5574673,20999999.772513658,99.99999893163286,2115-01-01
BTC,5627233,20999999.81167391,99.99999911811025,2116-01-01
BTC,5679937,20999999.84723963,99.99999928747081,2117-01-01
BTC,5732497,20999999.866819754,99.99999938070951,2118-01-01
BTC,5785057,20999999.88639988,99.99999947394821,2119-01-01
BTC,5837617,20999999.905980006,99.9999995671869,2120-01-01
BTC,5890321,20999999.92369134,99.99999965152658,2121-01-01
BTC,5942881,20999999.933481403,99.99999969814594,2122-01-01
BTC,5995441,20999999.943271466,99.99999974476528,2123-01-01
BTC,6048001,20999999.95306153,99.99999979138462,2124-01-01
BTC,6100705,20999999.961881433,99.99999983338418,2125-01-01
BTC,6153265,20999999.966776464,99.99999985669385,2126-01-01
BTC,6205825,20999999.971671496,99.99999988000351,2127-01-01
BTC,6258385,20999999.976566527,99.9999999033132,2128-01-01
BTC,6311089,20999999.980937943,99.99999992412945,2129-01-01
BTC,6363649,20999999.983287558,99.9999999353181,2130-01-01
BTC,6416209,20999999.985637173,99.99999994650675,2131-01-01
BTC,6468769,20999999.98798679,99.9999999576954,2132-01-01
BTC,6521473,20999999.9900864,99.99999996769354,2133-01-01
BTC,6574033,20999999.991261207,99.99999997328786,2134-01-01
BTC,6626593,20999999.992436014,99.99999997888219,2135-01-01
BTC,6679153,20999999.99361082,99.9999999844765,2136-01-01
BTC,6731857,20999999.994656336,99.99999998945513,2137-01-01
BTC,6784417,20999999.99524374,99.9999999922523,2138-01-01
BTC,6836977,20999999.995831143,99.99999999504946,2139-01-01
BTC,6889537,20999999.996418547,99.99999999784663,2140-01-01
